,ID,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category,center_X,center_Y
2813,2814,025302634.jpg,498,477,456,351,349,368,369,362,481,314,509,452,359,365,408,265,411.4538,248.5946,428.5462,167.4054,560,387,460,349,385,277,430,252,499,293,582,335,2.489067295193121,"rowing, stationary",conditioning exercise,359.0,365.0
2814,2815,012595520.jpg,478,346,421,270,342,268,379,252,464,278,496,324,361,260,390,194,390.3231,189.0732,393.6769,137.9268,460,261,407,235,366,197,413,191,449,220,491,244,1.537686574045569,"rowing, stationary",conditioning exercise,360.5,260.0
2816,2817,067383890.jpg,-1,-1,438,474,363,414,426,389,488,458,-1,-1,395,402,359,253,355.7239,227.3694,345.2761,145.6306,300,331,243,350,304,256,414,249,459,293,470,304,2.472116502109073,"rowing, stationary",conditioning exercise,394.5,401.5
2818,2819,032432938.jpg,630,636,572,404,479,444,630,431,733,384,731,594,555,438,590,221,594.4604,202.0174,628.5396,56.9826,640,398,568,350,508,216,671,226,756,332,828,388,4.46954494328002,"rowing, stationary",conditioning exercise,554.5,437.5
2819,2820,067648375.jpg,640,644,619,400,537,460,642,448,766,375,737,607,590,454,622,238,627.7432,223.1352,684.2568,76.8648,723,388,623,344,543,245,700,231,807,319,909,369,4.70424489158462,"rowing, stationary",conditioning exercise,589.5,454.0
2820,2821,059424183.jpg,520,653,391,520,276,396,395,375,491,492,620,618,336,386,295,184,295.1654,178.0853,298.8346,46.9147,355,282,284,266,219,183,370,185,461,254,539,271,3.936658481504333,"rowing, stationary",conditioning exercise,335.5,385.5
2821,2822,060315012.jpg,520,663,393,523,262,417,380,387,493,510,628,628,321,402,295,191,301.3327,172.9678,347.6673,41.0322,247,345,146,309,207,192,382,189,395,285,423,319,4.195059951895801,"rowing, stationary",conditioning exercise,321.0,402.0
2822,2823,042906237.jpg,538,702,438,522,296,486,420,461,531,504,630,666,358,474,348,247,350.0874,218.5214,359.9126,84.4786,416,367,330,330,270,249,425,245,509,314,601,357,4.032071427938746,"rowing, stationary",conditioning exercise,358.0,473.5
2823,2824,076858133.jpg,743,506,598,432,428,397,464,354,610,412,742,469,446,376,340,250,338.9779,229.7043,334.0221,131.2957,447,323,349,346,310,264,370,235,412,296,468,293,2.955997293638815,"rowing, stationary",conditioning exercise,446.0,375.5
2824,2825,069235431.jpg,304,543,234,431,169,381,238,373,314,426,416,524,204,377,158,235,160.3336,205.381,168.6664,99.619,105,309,44,347,73,235,242,234,310,335,327,319,3.18269319916325,"rowing, stationary",conditioning exercise,203.5,377.0
3024,3025,044257735.jpg,656,514,677,430,679,316,713,313,709,432,711,530,696,315,659,215,647.4853,196.6618,616.5147,147.3382,693,184,690,205,640,214,678,216,720,232,711,202,1.7472263734273243,golf,sports,696.0,314.5
3025,3026,004836271.jpg,583,565,599,452,604,322,670,319,668,440,663,557,637,321,630,173,631.2302,154.7001,636.7698,72.2999,602,359,582,283,577,185,683,160,702,248,711,309,2.477585921819866,golf,sports,637.0,320.5
3027,3028,082634081.jpg,564,545,586,420,599,291,647,294,655,431,673,545,623,293,611,191,609.7049,196.1043,629.2951,118.8957,534,120,551,165,602,165,620,217,545,169,514,121,2.389657716075673,golf,sports,623.0,292.5
3028,3029,058800046.jpg,619,562,643,424,645,319,718,323,718,421,726,551,682,321,666,186,666.1809,162.6696,666.8191,80.3304,641,360,611,288,614,195,718,176,714,283,699,354,2.470251809026764,golf,sports,681.5,321.0
3029,3030,035310289.jpg,656,538,649,426,667,307,693,307,678,415,736,556,680,307,633,182,618.2381,175.4874,545.7619,143.5126,619,283,637,245,649,168,616,195,561,219,555,189,2.376484799025653,golf,sports,680.0,307.0
3031,3032,055468702.jpg,623,517,687,451,697,315,746,309,744,424,732,558,722,312,643,165,643.7906,147.1321,647.2094,69.8679,773,175,720,190,666,166,619,164,720,224,768,199,2.320193095412535,golf,sports,721.5,312.0
3034,3035,060435932.jpg,382,629,379,510,350,297,391,314,375,486,345,630,371,306,447,167,451.6091,161.2544,515.3909,81.7456,450,375,402,297,418,158,476,176,457,288,454,379,3.057905165305164,golf,sports,370.5,305.5
3039,3040,008010573.jpg,280,408,294,339,272,262,297,270,309,342,290,406,285,266,329,188,330.921,185.9143,362.079,152.0857,293,140,262,174,307,173,350,202,325,174,309,141,1.3797391057732618,golf,sports,284.5,266.0
3040,3041,044183370.jpg,206,416,222,326,209,245,205,237,229,324,213,406,207,241,255,176,265.732,159.6874,294.268,116.3126,269,286,261,238,260,188,249,163,253,217,264,270,1.5575981510004435,golf,sports,207.0,241.0
3042,3043,018445905.jpg,219,409,225,332,214,273,222,274,239,331,234,403,218,274,265,204,275.6589,186.3107,301.3411,143.6893,285,284,271,255,260,211,269,197,274,245,280,284,1.4928308678480626,golf,sports,218.0,273.5
3043,3044,020229395.jpg,227,410,235,340,220,281,254,286,270,342,246,404,237,284,271,192,278.6519,186.225,316.3481,157.775,219,166,219,191,243,178,298,205,261,181,233,156,1.4168133257419622,golf,sports,237.0,283.5
3045,3046,005115021.jpg,229,413,234,341,218,273,258,288,264,345,246,404,238,281,277,190,283.8233,184.2264,322.1767,151.7736,231,187,225,196,248,174,305,205,283,203,271,194,1.5072305729383275,golf,sports,238.0,280.5
3046,3047,039779344.jpg,283,393,314,317,299,251,267,252,289,320,305,390,283,252,321,152,328.6887,145.1207,370.3113,107.8793,332,146,347,178,347,165,294,139,313,151,333,146,1.675536928867878,golf,sports,283.0,251.5
3047,3048,051170745.jpg,275,407,284,320,279,258,328,253,333,332,329,399,304,256,324,189,324.4208,187.7129,340.5792,138.2871,303,275,272,235,289,188,359,190,343,252,325,288,1.5599999999999998,golf,sports,303.5,255.5
3048,3049,048329428.jpg,390,369,392,239,407,168,447,151,426,249,431,375,427,160,363,79,342.7089,58.025,294.2911,7.975,379,192,364,135,333,83,392,74,410,139,386,203,2.089103156859421,golf,sports,427.0,159.5
3049,3050,038278410.jpg,273,433,292,357,261,282,300,284,316,356,291,432,281,283,335,195,340.8425,193.398,391.1575,179.602,289,194,267,208,307,173,363,217,346,235,311,200,1.5651606946253154,golf,sports,280.5,283.0
3050,3051,083914661.jpg,-1,-1,299,473,255,314,338,336,372,465,-1,-1,297,325,378,176,381.9308,174.0346,460.0692,134.9654,245,100,244,189,327,153,429,198,335,161,271,96,2.620839560140986,golf,sports,296.5,325.0
3051,3052,014532669.jpg,348,399,331,326,320,231,270,231,283,330,301,412,295,231,327,130,332.2736,111.9481,347.7264,59.0519,281,69,306,96,354,127,299,132,233,101,245,62,1.6532150495322746,golf,sports,295.0,231.0
3052,3053,050569674.jpg,417,428,470,356,486,276,520,274,527,362,531,441,503,275,481,169,480.7932,150.1817,480.2068,96.8183,534,177,527,200,475,177,487,161,516,204,539,189,1.60099968769516,golf,sports,503.0,275.0
3053,3054,006204142.jpg,441,354,452,288,481,208,524,202,524,290,523,366,503,205,468,131,465.8663,127.3212,441.1337,84.6788,436,195,445,176,449,136,486,125,473,169,425,205,1.4788752482883738,golf,sports,502.5,205.0
3054,3055,007115568.jpg,-1,-1,561,420,540,280,569,278,539,456,-1,-1,555,279,549,130,539.7905,96.5548,520.2095,25.4452,495,215,494,188,504,142,593,118,607,193,533,227,2.2126906697502924,golf,sports,554.5,279.0
3055,3056,054127011.jpg,415,642,454,498,403,362,415,362,449,500,416,622,409,362,521,242,553.7091,218.3381,629.2909,163.6619,506,413,498,335,527,257,515,227,496,332,493,393,2.7985481950468536,golf,sports,409.0,362.0
3056,3057,064557218.jpg,405,598,431,452,436,341,516,347,506,444,532,586,476,344,474,201,474.2395,204.1815,466.7605,104.8185,403,379,410,296,407,192,540,209,493,294,447,360,2.989325007422244,golf,sports,476.0,344.0
3057,3058,004558516.jpg,738,530,708,403,734,291,770,277,737,400,782,535,752,284,673,225,620.9569,131.6813,580.0431,58.3187,644,173,673,250,681,319,665,131,689,240,703,315,2.52,golf,sports,752.0,284.0
3058,3059,094597089.jpg,705,637,656,508,689,389,758,370,685,498,756,637,724,380,612,235,595.3588,222.0082,514.6412,158.9918,628,412,636,334,603,259,621,211,648,334,643,418,3.0720937485695323,golf,sports,723.5,379.5
3059,3060,029661248.jpg,582,537,590,439,603,357,650,349,658,426,701,545,627,353,598,218,589.7857,200.5655,557.2143,131.4345,569,352,573,298,560,234,635,201,613,283,589,344,2.292596780945136,golf,sports,626.5,353.0
3060,3061,007718753.jpg,317,493,357,362,339,216,405,227,429,367,437,469,372,222,417,109,411.6701,116.1421,472.3299,34.8579,395,304,370,232,370,113,464,105,445,197,416,290,3.0427040605356277,golf,sports,372.0,221.5
3061,3062,016988707.jpg,523,545,573,421,576,312,632,309,658,421,666,505,604,311,612,177,611.1407,165.3512,603.8593,66.6488,597,360,574,284,548,187,675,167,642,263,622,339,2.969121082071258,golf,sports,604.0,310.5
3062,3063,012694441.jpg,348,559,357,450,332,347,402,357,428,428,429,527,367,352,409,228,411.5272,225.5912,470.4728,169.4088,309,201,319,240,368,197,449,259,381,227,333,203,2.442935938578824,golf,sports,367.0,352.0
3063,3064,012328378.jpg,866,675,807,560,804,406,891,393,847,548,844,715,848,400,790,225,774.731,206.6772,715.269,135.3228,851,138,816,154,729,236,851,214,944,212,884,147,2.7864816525503984,golf,sports,847.5,399.5
3065,3066,024584744.jpg,129,628,189,513,177,400,100,397,160,492,192,609,139,399,186,246,189.3327,241.5008,242.6673,169.4992,112,141,153,174,245,259,126,232,65,208,67,139,2.6881071407218866,golf,sports,138.5,398.5
3066,3067,035813972.jpg,424,482,470,388,462,297,415,292,457,380,471,455,439,295,457,195,463.2798,189.736,518.7202,143.264,419,95,462,141,498,209,416,180,389,147,397,97,2.170242382776633,golf,sports,438.5,294.5
3070,3071,014255656.jpg,382,692,422,520,352,362,329,360,385,520,359,686,341,361,470,213,490.6913,189.1958,562.3087,106.8042,449,429,438,346,447,213,493,213,461,337,460,426,3.275010839676717,golf,sports,340.5,361.0
3072,3073,055473180.jpg,304,551,320,426,307,291,252,287,275,423,274,545,280,289,302,140,308.8291,116.9763,330.1709,45.0237,335,221,345,246,351,153,252,126,234,215,281,247,2.251527481511163,golf,sports,279.5,289.0
3840,3841,064734213.jpg,1047,570,1042,513,1020,359,1107,347,1182,468,1182,559,1064,353,1088,231,1100.8013,200.8119,1142.1987,103.1881,1111,413,1028,347,1033,227,1142,235,1161,302,1184,355,3.181154507407649,skateboarding,sports,1063.5,353.0
3841,3842,012834993.jpg,707,408,644,307,561,211,607,161,683,245,740,288,584,186,486,102,493.3996,102.5,404.6004,96.5,392,176,424,157,445,137,527,67,606,3,-1,-1,2.670047190594204,skateboarding,sports,584.0,186.0
3842,3843,065018717.jpg,931,530,851,431,848,341,791,351,779,495,841,577,820,346,773,198,762.4676,183.9568,714.5324,120.0432,965,293,884,235,832,190,713,206,641,234,620,206,2.396757810042558,skateboarding,sports,819.5,346.0
3844,3845,091181857.jpg,661,452,697,380,707,297,740,298,750,370,723,439,724,298,732,224,728.877,214.3594,712.123,162.6406,686,356,682,298,691,235,772,212,812,219,831,269,1.6309408327710724,skateboarding,sports,723.5,297.5
5602,5603,008303876.jpg,1224,643,1215,587,1267,565,1258,559,1201,584,1172,653,1263,562,1227,503,1224.6396,499.5815,1200.3604,464.4185,1215,551,1244,549,1225,503,1228,502,1270,525,1286,556,1.2819235546630694,"skiing, downhill",winter activities,1262.5,562.0
5610,5611,060438072.jpg,682,665,667,593,701,494,732,499,636,619,672,744,717,497,599,338,576.1911,319.4042,464.8089,228.5958,482,383,573,347,607,331,590,345,674,439,559,456,4.311257821100474,"skiing, downhill",winter activities,716.5,496.5
5666,5667,017401045.jpg,800,694,868,569,844,444,765,418,797,559,844,708,805,431,881,257,894.9871,225.9952,927.0129,155.0048,938,485,948,405,942,282,820,232,751,310,712,384,2.3363972265006647,bowling,sports,804.5,431.0
5667,5668,076075931.jpg,-1,-1,602,677,598,510,523,491,532,569,564,708,561,501,658,337,661.2789,328.0881,693.7211,239.9119,700,494,711,428,724,356,591,318,487,290,378,243,2.8186464836868064,bowling,sports,560.5,500.5
5668,5669,001583807.jpg,-1,-1,134,573,234,379,168,365,262,511,251,687,201,372,355,238,362.3601,227.982,419.6399,150.018,505,200,474,286,416,266,294,209,174,251,80,322,2.902313559903547,bowling,sports,201.0,372.0
5669,5670,055781013.jpg,-1,-1,427,625,400,468,336,468,387,606,-1,-1,368,468,513,351,508.8209,360.194,542.1791,286.806,459,331,506,330,570,363,456,339,316,384,214,416,2.418409394622837,bowling,sports,368.0,468.0
5670,5671,037946138.jpg,40,564,213,535,311,368,256,362,333,485,320,650,284,365,413,258,417.8046,251.341,465.1954,185.659,537,246,516,319,461,278,365,238,261,280,181,352,2.42981480775799,bowling,sports,283.5,365.0
5671,5672,050655000.jpg,184,620,310,567,365,413,314,413,370,519,384,641,340,413,432,294,441.1,281.5473,479.9,228.4527,497,222,503,286,485,310,379,277,307,328,253,391,1.9728233575259595,bowling,sports,339.5,413.0
5672,5673,056283024.jpg,447,701,567,658,659,530,584,490,679,607,686,710,622,510,730,321,744.9185,297.5566,792.0815,223.4434,874,199,849,271,806,339,653,303,564,372,539,439,2.635414198944826,bowling,sports,621.5,510.0
5673,5674,031336769.jpg,785,715,803,610,801,420,730,405,730,572,766,718,766,413,808,290,808.2808,289.824,882.7192,243.176,918,312,896,288,867,285,748,294,663,306,578,315,2.635414198944826,bowling,sports,765.5,412.5
5674,5675,029510886.jpg,-1,-1,588,652,594,493,486,474,462,600,-1,-1,540,484,578,322,575.1122,326.6204,625.8878,245.3796,767,340,712,311,650,321,505,323,416,348,321,350,2.8740939441848448,bowling,sports,540.0,483.5
5676,5677,087127699.jpg,866,657,844,538,882,391,791,399,775,548,789,676,837,395,751,222,752.2872,221.8964,662.7128,229.1036,767,383,786,286,792,227,709,216,754,193,781,177,2.6959169126662634,bowling,sports,836.5,395.0
5678,5679,009761876.jpg,152,498,293,546,385,376,322,351,369,565,385,692,354,364,473,269,486.253,265.9322,567.747,247.0678,613,376,585,387,528,293,417,245,340,272,249,304,2.5094636877229366,bowling,sports,353.5,363.5
5683,5684,012580234.jpg,630,632,739,646,814,559,790,553,820,654,820,765,802,556,899,459,901.5857,453.3977,926.4143,399.6023,957,473,949,471,943,471,854,447,798,469,739,511,1.7774588602834107,bowling,sports,802.0,556.0
5685,5686,020299356.jpg,900,711,890,605,872,509,844,487,806,569,675,575,858,498,970,422,971.6706,419.5155,1007.3294,366.4845,994,354,1004,394,996,440,944,404,884,412,822,438,1.9171478816199856,bowling,sports,858.0,498.0
5686,5687,045186904.jpg,519,557,653,524,695,438,707,450,708,545,708,648,701,444,773,360,781.907,347.959,818.093,299.041,815,500,810,459,812,381,734,338,671,368,638,406,1.8254204995014165,bowling,sports,701.0,444.0
5687,5688,079694750.jpg,894,848,1004,717,1115,535,1040,521,1089,719,1134,853,1078,528,1170,379,1171.1583,370.8197,1184.8417,274.1803,1228,267,1245,352,1212,404,1127,354,1089,307,1084,234,2.928098359003673,bowling,sports,1077.5,528.0
5688,5689,059042610.jpg,927,718,984,625,1053,424,952,421,969,585,1028,762,1003,423,1106,275,1118.2365,240.4371,1150.7635,148.5629,1211,354,1182,400,1163,323,1049,226,925,180,807,102,2.9238659339990263,bowling,sports,1002.5,422.5
5689,5690,009691733.jpg,428,623,593,505,682,336,634,345,649,508,648,690,658,341,779,241,790.1923,209.0552,815.8077,135.9448,751,298,802,268,835,266,723,216,656,268,575,316,2.3240378654402343,bowling,sports,658.0,340.5
5690,5691,054802150.jpg,390,415,562,481,743,348,661,333,704,520,743,670,702,341,842,241,839.743,247.368,872.257,155.632,909,161,892,241,886,274,798,208,747,200,695,157,2.919824652269379,bowling,sports,702.0,340.5
5691,5692,070273830.jpg,753,799,865,665,949,522,847,506,924,672,963,815,898,514,1028,326,1034.8488,309.9764,1074.1512,218.0236,1099,360,1088,399,1083,376,972,276,872,217,837,165,3.0,bowling,sports,898.0,514.0
5692,5693,079270341.jpg,183,688,400,684,566,522,466,468,568,600,563,793,516,495,677,378,680.6455,365.3971,708.3545,269.6029,709,504,714,511,727,422,627,333,484,336,370,333,2.991636341536183,bowling,sports,516.0,495.0
5694,5695,015265816.jpg,1182,797,1348,644,1452,455,1375,444,1428,639,1439,854,1414,450,1572,274,1595.5253,247.9047,1667.4747,168.0953,1712,189,1734,316,1650,296,1494,251,1397,320,1280,407,3.223602953218649,bowling,sports,1413.5,449.5
5695,5696,071017327.jpg,168,730,365,652,555,493,468,442,552,598,559,793,512,468,670,341,670.1502,340.5539,702.8498,243.4461,629,379,689,403,734,372,606,310,463,310,367,316,3.073968119548412,bowling,sports,511.5,467.5
5696,5697,067734185.jpg,281,769,435,665,509,448,441,437,544,615,532,817,475,443,622,268,638.2724,223.689,670.7276,135.311,734,412,730,385,703,309,540,227,422,282,319,338,2.8244645510255566,bowling,sports,475.0,442.5
5697,5698,002442688.jpg,553,853,534,639,503,520,460,446,426,625,250,806,482,483,664,284,687.0411,257.9617,763.9589,171.0383,869,299,826,346,743,315,584,253,474,332,403,411,3.4820683508512573,bowling,sports,481.5,483.0
5698,5699,041174767.jpg,1110,857,1310,665,1433,468,1336,446,1401,677,1418,903,1385,457,1549,268,1573.0656,235.2708,1649.9344,130.7292,1702,203,1738,302,1644,297,1454,239,1339,306,1228,362,3.892811837219981,bowling,sports,1384.5,457.0
5699,5700,033295025.jpg,1000,723,1136,627,1231,477,1173,436,1277,571,1263,746,1202,457,1353,313,1374.0106,258.5382,1407.9894,170.4618,1444,525,1433,457,1441,367,1265,259,1179,298,1082,330,2.8321016930894265,bowling,sports,1202.0,456.5
5701,5702,021613581.jpg,468,814,630,691,759,530,711,492,786,670,786,862,735,511,863,327,870.8324,288.6415,894.1676,174.3585,904,278,923,321,935,364,791,290,716,314,632,323,3.4992296295041863,bowling,sports,735.0,511.0
5703,5704,091320596.jpg,788,886,803,684,793,477,697,453,623,674,476,927,745,465,888,294,889.1169,290.5676,927.8831,171.4324,981,128,1003,191,971,309,805,278,659,263,517,222,3.758510343207798,bowling,sports,745.0,465.0
5704,5705,079780237.jpg,775,856,793,754,795,634,686,586,700,754,709,867,741,610,802,486,802.6779,482.7891,820.3221,399.2109,879,745,870,663,852,522,752,450,682,434,623,423,2.562611168320313,bowling,sports,740.5,610.0
5705,5706,092145774.jpg,728,977,829,801,856,587,761,557,809,762,824,985,809,572,938,370,955.4316,346.3039,1048.5684,219.6961,1029,649,1011,521,1020,420,856,319,776,301,654,269,4.7152518490532405,bowling,sports,808.5,572.0
5707,5708,001067013.jpg,599,886,712,711,856,484,750,468,789,646,856,814,803,476,904,306,908.726,282.513,932.274,165.487,924,395,962,374,960,338,847,273,746,297,635,292,3.5811506530722776,bowling,sports,803.0,476.0
5708,5709,062274128.jpg,894,813,915,696,905,521,822,511,855,636,862,795,864,516,928,325,937.0,293.0,962.0,210.0,932,464,985,408,981,342,874,307,807,276,747,225,2.618970790215118,bowling,sports,863.5,516.0
5709,5710,041283940.jpg,899,989,978,792,1005,596,904,660,1050,851,1159,965,955,628,822,451,821.5554,436.063,817.4446,297.937,1172,437,1037,450,904,434,739,468,700,490,660,490,4.145613585465968,bowling,sports,954.5,628.0
5710,5711,085985449.jpg,410,607,567,747,757,571,656,518,807,689,798,934,707,545,952,426,956.2938,417.6766,1012.7062,308.3234,1043,343,1065,441,1014,482,889,369,769,292,718,215,3.6913997345180594,bowling,sports,706.5,544.5
5711,5712,025181470.jpg,790,951,792,732,763,533,691,504,821,711,713,893,727,519,957,398,973.4456,374.4177,1046.5544,269.5823,850,667,925,549,1014,465,900,331,749,359,751,460,3.834295763239972,bowling,sports,727.0,518.5
5712,5713,098102949.jpg,95,602,275,747,492,583,386,537,545,718,557,963,439,560,700,422,701.433,420.1826,780.567,319.8174,817,306,826,422,771,477,629,367,540,314,461,217,3.834295763239972,bowling,sports,439.0,560.0
5714,5715,079353740.jpg,356,694,570,744,698,559,753,612,789,739,787,958,726,586,925,413,953.7685,371.8389,1026.2315,268.1611,818,660,895,578,986,497,864,328,712,355,654,468,3.794733192202055,bowling,sports,725.5,585.5
5715,5716,008559955.jpg,284,929,474,751,602,641,535,583,681,708,701,913,569,612,831,418,839.9192,404.5198,910.0808,298.4802,977,381,941,410,886,480,775,355,652,381,520,383,3.814490267388292,bowling,sports,568.5,612.0
5960,5961,026997364.jpg,828,841,756,810,732,697,776,690,778,757,845,834,754,694,711,578,709.5665,573.7594,688.4335,511.2406,624,687,660,651,680,591,742,565,812,603,819,639,1.9798181734694729,"skiing, downhill",winter activities,754.0,693.5
5969,5970,065538320.jpg,1442,764,1250,758,1209,609,1320,560,1296,666,1426,791,1265,585,1140,391,1130.6895,381.7665,1028.3105,280.2335,1043,631,1052,541,1068,416,1212,365,1296,452,1233,547,4.325662954970024,"skiing, downhill",winter activities,1264.5,584.5
5972,5973,045154702.jpg,1061,563,1006,493,929,468,984,442,1048,488,1119,559,957,455,943,335,944.0276,333.1866,975.9724,276.8134,894,420,870,404,896,349,989,321,1053,342,1115,360,1.943851846206392,"skiing, downhill",winter activities,956.5,455.0
5975,5976,024986747.jpg,263,569,360,473,467,374,540,418,439,483,364,590,504,396,554,237,553.1942,223.4165,547.8058,132.5835,328,269,413,259,489,217,618,257,654,360,618,414,2.7297824089110105,"skiing, downhill",winter activities,503.5,396.0
5985,5986,009770728.jpg,1234,810,1225,753,1242,678,1270,676,1250,750,1252,810,1256,677,1263,593,1257.632,577.1025,1242.368,531.8975,1202,663,1224,636,1237,589,1289,596,1295,638,1265,679,1.4313741649198506,"skiing, downhill",winter activities,1256.0,677.0
5996,5997,044914820.jpg,491,559,550,466,533,386,573,384,601,463,563,561,553,385,599,267,602.363,260.1059,635.637,191.8941,601,349,544,330,571,261,626,272,674,330,699,371,2.276839915321233,"skiing, downhill",winter activities,553.0,385.0
5998,5999,009113734.jpg,730,511,684,387,662,265,603,263,604,381,633,479,633,264,665,122,670.9911,111.0163,707.0089,44.9837,770,303,750,208,713,133,617,110,553,163,550,250,2.256510580520286,"skiing, downhill",winter activities,632.5,264.0
6000,6001,021373669.jpg,845,554,776,488,673,477,745,448,838,505,923,557,709,463,728,335,732.2371,320.1701,753.7629,244.8299,704,468,655,431,681,349,774,320,835,355,886,400,2.350652675322324,"skiing, downhill",winter activities,709.0,462.5
6002,6003,041275832.jpg,756,590,756,513,813,444,815,456,772,516,786,591,814,450,776,356,763.7932,346.544,717.2068,310.456,767,439,801,400,778,357,773,354,764,407,716,413,1.767873298627478,"skiing, downhill",winter activities,814.0,450.0
6004,6005,058385827.jpg,393,200,397,147,449,104,479,116,449,174,479,216,464,110,437,26,447.8301,28.9537,404.1699,17.0463,339,79,383,48,416,29,457,23,483,67,499,59,1.357645019878171,skateboarding,sports,464.0,110.0
6016,6017,055884087.jpg,862,541,939,440,923,314,954,319,1004,399,946,509,939,317,997,183,1008.8962,174.1662,1086.1038,116.8338,1076,317,1004,275,995,176,999,190,979,245,1048,294,2.884995667241113,"skiing, downhill",winter activities,938.5,316.5
6018,6019,017748183.jpg,640,599,693,502,689,378,754,376,762,500,746,599,722,377,730,178,729.7849,182.1577,736.2151,57.8423,634,363,613,296,650,176,809,180,888,292,911,371,3.7344493570003054,"skiing, downhill",winter activities,721.5,377.0
6039,6040,031325074.jpg,468,420,457,322,492,222,455,234,416,326,449,417,474,228,420,144,405.3928,135.9473,356.6072,109.0527,476,108,488,147,452,120,387,168,420,163,461,107,1.671234274421154,golf,sports,473.5,228.0
6088,6089,071663194.jpg,750,647,750,567,818,546,854,556,818,633,848,694,836,551,805,464,783.6052,459.5428,730.3948,448.4572,720,526,768,539,785,473,824,455,860,502,848,562,1.6305876241404509,soccer,sports,836.0,551.0
6089,6090,043728165.jpg,903,764,910,721,931,623,968,619,1004,690,1004,778,950,621,945,531,942.8407,502.9293,939.1593,455.0707,916,649,905,588,913,538,977,523,991,572,1004,619,1.44,soccer,sports,949.5,621.0
6092,6093,050677004.jpg,784,543,863,470,886,377,919,374,954,456,899,499,903,376,915,262,916.9684,239.2546,922.0316,180.7454,848,376,841,313,874,261,955,262,951,315,948,363,1.7618354066143638,soccer,sports,902.5,375.5
6093,6094,012654531.jpg,-1,-1,746,905,686,713,607,718,626,913,-1,-1,647,716,675,510,688.2841,467.0639,717.7159,371.9361,736,598,772,631,751,509,599,511,563,617,638,648,2.987301123087527,soccer,sports,646.5,715.5
6094,6095,047662046.jpg,586,611,628,587,674,515,706,527,695,603,650,660,690,521,729,453,732.9391,438.6761,747.0609,387.3239,624,493,656,463,693,443,764,463,775,512,759,536,1.5977584298009508,soccer,sports,690.0,521.0
6096,6097,025826436.jpg,565,767,668,709,627,625,632,635,703,702,731,797,630,630,622,503,631.2712,482.8795,659.7288,421.1205,668,592,621,577,627,504,616,502,601,577,627,601,2.04,soccer,sports,629.5,630.0
6100,6101,084135677.jpg,132,725,192,627,186,528,229,540,217,627,148,706,208,534,234,414,245.1058,389.3205,276.8942,318.6795,96,530,130,468,181,412,287,416,300,472,318,532,2.32391393988676,soccer,sports,207.5,534.0
6103,6104,004050917.jpg,564,767,570,705,581,621,549,623,549,705,584,750,565,622,578,518,576.2889,489.7664,573.7111,447.2336,633,602,627,565,606,526,549,509,511,543,488,531,1.2783239026162343,soccer,sports,565.0,622.0
6104,6105,012291118.jpg,594,690,501,614,462,497,514,490,440,631,438,751,488,494,509,290,509.1088,276.179,509.8912,176.821,392,497,423,405,438,290,579,290,597,386,603,471,2.9808347824057613,soccer,sports,488.0,493.5
6105,6106,020307059.jpg,920,686,807,726,830,561,830,586,800,730,906,835,830,574,731,433,713.8373,400.4812,672.1627,321.5188,930,540,851,503,758,431,704,435,737,540,709,644,2.6785548342343115,soccer,sports,830.0,573.5
6108,6109,034626605.jpg,584,599,712,529,783,420,815,394,940,495,823,615,799,407,876,251,893.1099,228.3708,951.8901,150.6292,980,355,965,381,898,298,853,203,768,234,770,315,2.923865933999026,football,sports,799.0,407.0
6110,6111,058618235.jpg,735,323,673,330,664,275,679,266,623,332,604,449,672,271,654,176,654.1191,182.7899,652.8809,112.2101,631,255,586,230,613,173,695,179,732,203,735,263,2.1177195281717545,football,sports,671.5,270.5
6111,6112,057705334.jpg,356,442,379,353,421,266,454,274,471,383,469,323,438,270,367,217,381.4734,222.1357,321.5266,200.8643,365,350,352,295,325,233,409,201,484,237,526,274,1.908264132660885,football,sports,437.5,270.0
6114,6115,012718245.jpg,903,956,891,737,713,667,658,658,696,848,602,975,686,663,711,441,715.9867,399.5717,732.0133,266.4283,884,583,828,626,788,465,634,417,569,545,521,622,4.02313310741765,football,sports,685.5,662.5
6115,6116,032900573.jpg,298,571,321,483,296,391,347,405,358,474,336,559,322,398,348,262,349.6328,250.5701,358.3672,189.4299,383,281,315,303,321,266,375,258,426,289,469,306,1.8528248702994032,football,sports,321.5,398.0
6116,6117,039145427.jpg,365,715,280,650,225,468,310,468,339,612,294,713,268,468,319,252,319.8781,248.2174,344.1219,143.7826,421,319,335,336,258,246,379,258,447,336,521,400,3.216358189008184,football,sports,267.5,468.0
6118,6119,034304401.jpg,525,530,421,503,416,413,391,415,317,488,302,599,404,414,356,294,349.5468,279.4034,320.4532,213.5966,306,331,325,309,317,282,395,306,458,336,444,405,2.15853283505255,football,sports,403.5,414.0
